Rekeningnummer;Rubrieknaam;Naam;Munt;Afschriftnummer;Datum;Omschrijving;Valuta;Bedrag;Saldo;Credit;Debet;Rekening tegenpartij;BIC code tegenpartij;Naam tegenpartij;Adres tegenpartij;gestructureerde mededeling;vrije mededeling
BE00 1234 5678 9101;;JANSSEN JAN;EUR;2020001;30/09/2020;"OVERSCHRIJVING VAN BE11 0987 6543 2100 BANKIER OPDRACHTGEVER: KREDBEBB JANSSEN JAN GRENADIERSTRAAT     1    A000 9000    GENT";01/10/2020;250,00;250,00;250,00;;BE11 0987 6543 2100;KREDBEBB;JANSSEN JAN;GRENADIERSTRAAT     1    A000 3900    GENT;;;
BE00 1234 5678 9101;;JANSSEN JAN;EUR;2020002;26/10/2020;"OVERSCHRIJVING VAN BE11 0987 6543 2100 BANKIER OPDRACHTGEVER: KREDBEBB JANSSEN JAN GRENADIERSTRAAT     1    A000 9000    GENT";27/10/2020;250,00;500,00;250,00;;BE11 0987 6543 2100;KREDBEBB;JANSSEN JAN;GRENADIERSTRAAT     1    A000 9000    GENT;;;
BE00 1234 5678 9101;;JANSSEN JAN;EUR;2020003;29/10/2020;"OVERSCHRIJVING VAN BE11 0987 6543 2100 BANKIER OPDRACHTGEVER: KREDBEBB JANSSEN JAN GRENADIERSTRAAT     1    A000 9000    GENT";29/10/2020;4,83;504,83;4,83;;BE11 0987 6543 2100;KREDBEBB;JANSSEN JAN;GRENADIERSTRAAT     1    A000 9000    GENT;;;
BE00 1234 5678 9101;;JANSSEN JAN;EUR;2020004;25/11/2020;"OVERSCHRIJVING VAN BE11 0987 6543 2100 BANKIER OPDRACHTGEVER: KREDBEBB JANSSEN JAN GRENADIERSTRAAT     1    A000 9000    GENT";26/11/2020;250,00;754,83;250,00;;BE11 0987 6543 2100;KREDBEBB;JANSSEN JAN;GRENADIERSTRAAT     1    A000 9000    GENT;;;
BE00 1234 5678 9101;;JANSSEN JAN;EUR;2020005;26/11/2020;"OVERSCHRIJVING VAN BE11 0987 6543 2100 BANKIER OPDRACHTGEVER: KREDBEBB JANSSEN JAN GRENADIERSTRAAT     1    A000 9000    GENT";27/11/2020;245,17;1000,00;245,17;;BE11 0987 6543 2100;KREDBEBB;JANSSEN JAN;GRENADIERSTRAAT     1    A000 9000    GENT;;;
BE00 1234 5678 9101;;JANSSEN JAN;EUR;2020005;26/11/2020;"OVERSCHRIJVING NAAR BE11 0987 6543 2100 BANKIER BEGUNSTIGDE: KREDBEBB JANSSEN JAN MET KBC MOBILE";26/11/2020;-50,00;950,00;;-50,00;BE11 0987 6543 2100;KREDBEBB;JANSSEN JAN;;;;
BE00 1234 5678 9101;;JANSSEN JAN;EUR;2020006;27/11/2020;"OVERSCHRIJVING VAN BE11 0987 6543 2100 BANKIER OPDRACHTGEVER: KREDBEBB JANSSEN JAN GRENADIERSTRAAT     1    A000 9000    GENT";28/11/2020;50,00;1000,00;50,00;;BE11 0987 6543 2100;KREDBEBB;JANSSEN JAN;GRENADIERSTRAAT     1    A000 9000    GENT;;;
BE00 1234 5678 9101;;JANSSEN JAN;EUR;2020007;23/12/2020;"OVERSCHRIJVING VAN BE11 0987 6543 2100 BANKIER OPDRACHTGEVER: KREDBEBB JANSSEN JAN GRENADIERSTRAAT     1    A000 9000    GENT";24/12/2020;250,00;1250,00;250,00;;BE11 0987 6543 2100;KREDBEBB;JANSSEN JAN;GRENADIERSTRAAT     1    A000 9000    GENT;;;
BE00 1234 5678 9101;;JANSSEN JAN;EUR;2020008;31/12/2020;"CREDITRENTE VAN BE00 1234 5678 9101 BASISRENTE                                      0,01 U KRIJGT DE GETROUWHEIDSPREMIE TELKENS AAN HET EINDE VAN HET KWARTAAL WAARIN ZE WERD VERWORVEN. U KUNT DE DETAILBEREKENING VAN DE RENTE OPVRAGEN VIA DE REKENINGFICHE IN TOUCH OF VIA UW BANKKANTOOR.";01/01/2021;0,01;1250,01;0,01;;;;;;;;
BE00 1234 5678 9101;;JANSSEN JAN;EUR;2021001;26/01/2021;"OVERSCHRIJVING VAN BE11 0987 6543 2100 BANKIER OPDRACHTGEVER: KREDBEBB JANSSEN JAN GRENADIERSTRAAT     1    A000 9000    GENT";27/01/2021;250,00;1500,01;250,00;;BE11 0987 6543 2100;KREDBEBB;JANSSEN JAN;GRENADIERSTRAAT     1    A000 9000    GENT;;;
BE00 1234 5678 9101;;JANSSEN JAN;EUR;2021001;26/01/2021;"OVERSCHRIJVING NAAR BE11 0987 6543 2100 BANKIER BEGUNSTIGDE: KREDBEBB JANSSEN JAN MET KBC MOBILE";26/01/2021;-100,00;1400,01;;-100,00;BE11 0987 6543 2100;KREDBEBB;JANSSEN JAN;;;;
BE00 1234 5678 9101;;JANSSEN JAN;EUR;2021002;04/02/2021;"OVERSCHRIJVING NAAR BE11 0987 6543 2100 BANKIER BEGUNSTIGDE: KREDBEBB JANSSEN JAN MET KBC MOBILE";04/02/2021;-50,00;1350,01;;-50,00;BE11 0987 6543 2100;KREDBEBB;JANSSEN JAN;;;;
BE00 1234 5678 9101;;JANSSEN JAN;EUR;2021003;12/02/2021;"OVERSCHRIJVING VAN BE11 0987 6543 2100 BANKIER OPDRACHTGEVER: KREDBEBB JANSSEN JAN GRENADIERSTRAAT     1    A000 9000    GENT";13/02/2021;200,00;1550,01;200,00;;BE11 0987 6543 2100;KREDBEBB;JANSSEN JAN;GRENADIERSTRAAT     1    A000 9000    GENT;;;
